As_of_Date,Name,CSS Start Date,CSS Attrition date,Manager,Manager Start Date,Manager End Date,Role,Role Start Date,Role End Date,Status,Quotas_Pts
2020-01-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramping 0,0
2020-01-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramping 0,0
2020-01-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramping 0,0
2020-01-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramping 0,0
2020-01-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramping 0,0
2020-01-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramping 0,0
2020-02-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramping 1,24
2020-02-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramping 1,24
2020-02-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramping 1,24
2020-02-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramping 1,24
2020-02-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramping 1,24
2020-02-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramping 1,24
2020-03-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramping 2,24
2020-03-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramping 2,24
2020-03-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramping 2,24
2020-03-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramping 2,24
2020-03-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramping 2,24
2020-03-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramping 2,24
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-03-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramping 0,0
2020-04-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramping 3,50
